Freefall,Rise,Fall
9.81,2.43,1.37
18.28,,
7.23,0.36,0.31
9.93,1.38,0.89
4.18,,
12.2,,
34.31,1.28,1.19
8.9,0.57,0.43
10.22,0.84,0.54
24.12,2.38,2.04
26.48,,
28.03,0.73,0.84
51.11,0.71,0.73
16.06,,
11.65,,
5.79,0.47,0.44
26.43,0.42,0.47
13.62,,
24.23,0.3,0.37
21.47,0.83,0.77
11.84,0.36,0.3
4.97,0.35,0.28
24.4,0.78,0.7
4.18,2.94,1.2
7.02,4.37,1.91
10.01,0.43,0.35
4.53,0.31,0.25
6.4,0.31,0.2
10.17,0.4,0.46
4.15,3.03,4.14
5.12,0.88,0.65
7.84,1.29,0.96
4,,
6,0.75,0.53
16.48,1.21,1.03
10.75,0.22,
23.89,,
7.21,,
5.61,,
30.34,2.52,2.12
15.86,0.34,0.33
25.67,0.49,0.42
44.53,0.97,0.81
4.84,,
22.68,0.3,0.32
25.07,0.45,0.4
4.65,0.43,0.44
17.56,1.94,1.54
16.81,1.21,0.92
20.08,0.31,0.47
