Freefall,Rise,Fall,vf,vr,deltav
9.81,2.43,1.37,2.06E-05,3.65E-05,1.59E-05
7.23,0.36,0.31,0.000138889,0.00016129,2.24E-05
9.93,1.38,0.89,3.62E-05,5.62E-05,1.99E-05
34.31,1.28,1.19,3.91E-05,4.20E-05,2.95E-06
8.9,0.57,0.43,8.77E-05,0.000116279,2.86E-05
10.22,0.84,0.54,5.95E-05,9.26E-05,3.31E-05
24.12,2.38,2.04,2.10E-05,2.45E-05,3.50E-06
5.79,0.47,0.44,0.000106383,0.000113636,7.25E-06
21.47,0.83,0.77,6.02E-05,6.49E-05,4.69E-06
11.84,0.36,0.3,0.000138889,0.000166667,2.78E-05
4.97,0.35,0.28,0.000142857,0.000178571,3.57E-05
24.4,0.78,0.7,6.41E-05,7.14E-05,7.33E-06
4.18,2.94,1.2,1.70E-05,4.17E-05,2.47E-05
7.02,4.37,1.91,1.14E-05,2.62E-05,1.47E-05
10.01,0.43,0.35,0.000116279,0.000142857,2.66E-05
4.53,0.31,0.25,0.00016129,0.0002,3.87E-05
6.4,0.31,0.2,0.00016129,0.00025,8.87E-05
5.12,0.88,0.65,5.68E-05,7.69E-05,2.01E-05
7.84,1.29,0.96,3.88E-05,5.21E-05,1.33E-05
6,0.75,0.53,6.67E-05,9.43E-05,2.77E-05
16.48,1.21,1.03,4.13E-05,4.85E-05,7.22E-06
30.34,2.52,2.12,1.98E-05,2.36E-05,3.74E-06
15.86,0.34,0.33,0.000147059,0.000151515,4.46E-06
25.67,0.49,0.42,0.000102041,0.000119048,1.70E-05
44.53,0.97,0.81,5.15E-05,6.17E-05,1.02E-05
25.07,0.45,0.4,0.000111111,0.000125,1.39E-05
17.56,1.94,1.54,2.58E-05,3.25E-05,6.69E-06
16.81,1.21,0.92,4.13E-05,5.43E-05,1.30E-05
8.18,0.68,0.65,7.35E-05,7.69E-05,3.39E-06
10.62,1.61,1.21,3.11E-05,4.13E-05,1.03E-05
6.1,0.36,0.29,0.000138889,0.000172414,3.35E-05
16.74,0.57,0.4,8.77E-05,0.000125,3.73E-05
3.56,0.55,0.4,9.09E-05,0.000125,3.41E-05
7.94,1.67,1.09,2.99E-05,4.59E-05,1.59E-05
18.44,2.79,1.99,1.79E-05,2.51E-05,7.20E-06
23.48,1.23,1.04,4.07E-05,4.81E-05,7.43E-06
8.4,0.37,0.22,0.000135135,0.000227273,9.21E-05
6.52,0.4,0.33,0.000125,0.000151515,2.65E-05
12.12,1.18,0.98,4.24E-05,5.10E-05,8.65E-06
14.58,2.37,1.8,2.11E-05,2.78E-05,6.68E-06
18.3,1.86,1.59,2.69E-05,3.14E-05,4.56E-06
24.59,0.68,0.42,7.35E-05,0.000119048,4.55E-05
3.37,0.6,0.38,8.33E-05,0.000131579,4.82E-05
14.51,0.98,0.72,5.10E-05,6.94E-05,1.84E-05
4.17,1.54,0.81,3.25E-05,6.17E-05,2.93E-05
5.73,1.63,1.09,3.07E-05,4.59E-05,1.52E-05
7.35,4.37,1.91,1.14E-05,2.62E-05,1.47E-05
3.11,0.65,0.34,7.69E-05,0.000147059,7.01E-05
16.58,0.98,0.93,5.10E-05,5.38E-05,2.74E-06
22.82,7.53,4.4,6.64E-06,1.14E-05,4.72E-06
30.66,0.55,0.34,9.09E-05,0.000147059,5.61E-05
24.24,0.46,0.36,0.000108696,0.000138889,3.02E-05
23.57,0.37,0.21,0.000135135,0.000238095,0.00010296
60.82,0.4,0.32,0.000125,0.00015625,0.00003125
7.68,6.55,2.21,7.63E-06,2.26E-05,1.50E-05
9.36,0.47,0.3,0.000106383,0.000166667,6.03E-05
14.27,0.75,0.57,6.67E-05,8.77E-05,2.11E-05
32.87,2.32,2.12,2.16E-05,2.36E-05,2.03E-06
8.93,0.49,0.31,0.000102041,0.00016129,5.92E-05
63.32,3.63,3.09,1.38E-05,1.62E-05,2.41E-06
20.48,1.27,1.19,3.94E-05,4.20E-05,2.65E-06
26.09,0.28,0.15,0.000178571,0.000333333,0.000154762
38.43,0.92,0.62,5.43E-05,8.06E-05,2.63E-05
29.69,0.42,0.41,0.000119048,0.000121951,2.90E-06
25.62,1.84,1.46,2.72E-05,3.42E-05,7.07E-06
18.52,1.48,1.27,3.38E-05,3.94E-05,5.59E-06
8.49,0.31,0.24,0.00016129,0.000208333,4.70E-05
