t+,t-,v+,v-,,VOLTAGE = 100 V
1.27,0.59,3.93701E-05,8.47458E-05,,
1.71,0.52,2.92398E-05,9.61538E-05,,
1.2,0.45,4.16667E-05,0.000111111,,
1.61,0.24,3.10559E-05,0.000208333,,
1.56,0.74,3.20513E-05,6.75676E-05,,
1.09,0.48,4.58716E-05,0.000104167,,
1.09,0.47,4.58716E-05,0.000106383,,
1.07,0.37,4.6729E-05,0.000135135,,
1.3,0.77,3.84615E-05,6.49351E-05,,
0.65,0.35,7.69231E-05,0.000142857,,
1.78,0.56,2.80899E-05,8.92857E-05,,
1.08,0.37,4.62963E-05,0.000135135,,
0.97,0.28,5.15464E-05,0.000178571,,
1.15,0.5,4.34783E-05,0.0001,,
0.59,0.25,8.47458E-05,0.0002,,
2.21,0.63,2.26244E-05,7.93651E-05,,
1.1,0.34,4.54545E-05,0.000147059,,
1.87,1.16,2.6738E-05,4.31034E-05,,
0.68,0.2,7.35294E-05,0.00025,,
1.62,0.65,3.08642E-05,7.69231E-05,,
1.39,0.31,3.59712E-05,0.00016129,,
0.56,0.33,8.92857E-05,0.000151515,,
0.84,0.41,5.95238E-05,0.000121951,,
1.21,0.44,4.13223E-05,0.000113636,,
2.06,0.68,2.42718E-05,7.35294E-05,,
1.25,0.24,0.00004,0.000208333,,
1.05,0.43,4.7619E-05,0.000116279,,
0.6,0.25,8.33333E-05,0.0002,,
0.93,0.56,5.37634E-05,8.92857E-05,,
1.19,0.25,4.20168E-05,0.0002,,
2.83,1.21,1.76678E-05,4.13223E-05,,
2.96,0.75,1.68919E-05,6.66667E-05,,
2.71,0.31,1.84502E-05,0.00016129,,
1.42,0.46,3.52113E-05,0.000108696,,
1.86,0.93,2.68817E-05,5.37634E-05,,
1.65,0.44,3.0303E-05,0.000113636,,
1.15,0.6,4.34783E-05,8.33333E-05,,
2.82,1.7,1.77305E-05,2.94118E-05,,
3.56,1.87,1.40449E-05,2.6738E-05,,
,,,,,200v
6.54,3,7.64526E-06,1.66667E-05,,
7.15,1.12,6.99301E-06,4.46429E-05,,
1.04,0.7,4.80769E-05,7.14286E-05,,
3.62,1.43,1.38122E-05,3.4965E-05,,
5.39,2.37,9.27644E-06,2.1097E-05,,
0.64,0.52,0.000078125,9.61538E-05,,
2.43,1.7,2.05761E-05,2.94118E-05,,
2.08,0.7,2.40385E-05,7.14286E-05,,
4.14,1.4,1.20773E-05,3.57143E-05,,
6.26,2.1,7.98722E-06,2.38095E-05,,
1.01,0.35,4.9505E-05,0.000142857,,
