Trial,Rise,Fall,Free Fall
1,,,8.212843895
2,,,10.89744306
3,,,2.856066942
4,2.432384729,,
5,1.66163516,,
6,,,7.881625175
7,,,1.738971472
8,,,14.39264631
9,,,1.713270664
10,,1.79573369,
11,1.01055789,,
12,2.523465633,,
13,1.455188513,,
14,,,9.472488403
15,,,10.55353975
16,1.959552526,,
17,,0.897855282,
18,0.974456072,,
19,1.599865675,,
20,,1.058858633,
21,,,3.874842167
22,,0.538098097,
23,,,2.326050282
24,1.210013866,,
25,,,1.782615185
26,,0.994503975,
27,1.645473957,,
28,,0.83839488,
29,1.223428249,,
30,,,3.618525267
31,0.400490284,0.770166636,
32,0.331391335,0.616934538,
33,,0.532225847,
34,0.169258833,0.316095591,
35,0.847942829,,
36,1.169527054,,
37,0.884941578,0.96906352,
38,,0.938575268,
39,1.105657101,1.454652786,
40,,1.101102591,
41,,5.906097889,
42,,0.454192638,
43,,2.631916285,
44,0.904268742,0.684141159,
45,2.124335766,2.101639748,
46,,0.970880985,
47,1.399701118,0.969271898,
48,,0.700464964,
49,1.387429237,0.716257572,
50,,0.716619015,
51,,1.229087591,
52,0.984875917,0.801284075,
53,1.070526361,1.216011047,
54,1.03263998,,
55,,1.470393419,
56,,0.798036814,
57,1.602308035,1.200989723,
58,1.580104828,0.717149973,
59,,0.936168671,
60,0.831620693,0.654384375,
61,,0.96446991,
62,0.81596303,0.816253662,
63,1.647096872,1.601362705,
64,1.400588512,1.285666943,
65,1.325311184,0.762620449,
66,1.564141512,1.839228392,
67,1.148337126,0.838251591,
68,1.269977331,0.88106966,
69,0.647604942,0.604474545,
70,2.523132086,2.218057394,
71,1.255136728,1.237900972,
72,0.949555159,1.251529694,
73,1.154421806,0.970658064,
74,0.485418081,0.600871086,
75,0.919658899,0.753614664,
76,0.922494173,0.854334593,
77,2.234569073,1.163942575,
78,1.38589263,1.217462301,
79,1.05444479,,
80,0.93244338,0.854021311,
81,1.400674105,0.953438759,
82,1.232452631,0.685162783,
83,1.451907635,0.969392776,
84,1.070380449,1.353893518,
85,1.148137331,0.884811401,
86,1.201933622,0.754033804,
87,1.185611486,0.731754541,
88,,1.14837122,
89,1.701943398,1.369336843,
90,0.963834286,0.762876511,
91,1.001801968,0.800737619,
